feature,importance_mean
dayofweek,0.04862690941633807
roll30_mean,0.022948094892804482
humidity,0.015481491477879384
temp_anomaly,0.015363910915593481
is_weekend,0.008228092562091994
lag1,0.0080277311352295
lag14,0.007264751783077073
lag3,0.003930809791921186
lag30,0.003104741587565063
solar_irr,0.002644041717280887
temperature,0.002321979274629282
wind_speed,0.0011685421801563623
heat_spike,0.0008463713703298458
precip,0.00030118446626089537
roll7_std,-0.0012455053383858105
lag7,-0.0015581579834645699
roll7_mean,-0.002375103132923895
lag2,-0.0029193411887885714
